event_id,title
1,cain velasquez vs. travis browne
1,frankie edgar vs. josé aldo
1,anderson silva vs. daniel cormier
1,brock lesnar vs. mark hunt
1,amanda nunes vs. miesha tate
2,ben nguyen vs. louis smolka
2,keita nakamura vs. kyle noke
2,aleksei oleinik vs. daniel omielańczuk
2,josh samman vs. tim boetsch
2,lando vannata vs. tony ferguson
2,john lineker vs. michael mcdonald
3,felice herrig vs. kailin curran
3,bojan mihajlović vs. francis ngannou
3,edson barboza vs. gilbert melendez
3,holly holm vs. valentina shevchenko
4,fredy serrano vs. ryan benoit
4,francisco rivera vs. érik pérez
4,jake ellenberger vs. matt brown
4,karolina kowalkiewicz vs. rose namajunas
4,robbie lawler vs. tyron woodley
5,sabah homasi vs. tim means
5,hyun gyu lim vs. mike perry
5,donald cerrone vs. rick story
5,anthony johnson vs. glover teixeira
5,conor mcgregor vs. nate diaz
6,jim miller vs. joe lauzon
6,bec rawlings vs. paige vanzant
6,anthony pettis vs. charles oliveira
6,carlos condit vs. demian maia
7,nick hein vs. tae hyun bang
7,ilir latifi vs. ryan bader
7,alexander gustafsson vs. jan błachowicz
7,andrei arlovski vs. josh barnett
8,joanne calderwood vs. jéssica andrade
8,jimmie rivera vs. urijah faber
8,cm punk vs. mickey gall
8,fabrício werdum vs. travis browne
8,alistair overeem vs. stipe miocic
9,chas skelly vs. maximo blanco
9,chris wade vs. islam makhachev
9,kenny robertson vs. roan carneiro
9,evan dunham vs. rick glenn
9,derek brunson vs. uriah hall
9,dustin poirier vs. michael johnson
10,godofredo pepey vs. mike de la torre
10,eric spicely vs. thiago santos
10,francisco trinaldo vs. paul felder
10,antônio silva vs. roy nelson
10,phillipe nover vs. renan barão
10,cris cyborg vs. lina länsberg
11,brandon moreno vs. louis smolka
11,josh burkman vs. zak ottow
11,alex oliveira vs. will brooks
11,john dodson vs. john lineker
12,mirsad bektić vs. russell doane
12,daniel omielańczuk vs. stefan struve
12,jimi manuwa vs. ovince saint preux
12,gegard mousasi vs. vitor belfort
12,dan henderson vs. michael bisping
13,alexa grasso vs. heather jo clark
13,beneil dariush vs. rashid magomedov
13,claudio puelles vs. martín bravo
13,charles oliveira vs. ricardo lamas
13,diego sanchez vs. marcin held
13,rafael dos anjos vs. tony ferguson
14,miesha tate vs. raquel pennington
14,chris weidman vs. yoel romero
14,joanna jędrzejczyk vs. karolina kowalkiewicz
14,stephen thompson vs. tyron woodley
14,conor mcgregor vs. eddie alvarez
15,artem lobov vs. teruto ishihara
15,alexander volkov vs. timothy johnson
15,ross pearson vs. stevie ray
15,gegard mousasi vs. uriah hall
16,sérgio moraes vs. zak ottow
16,kamaru usman vs. warlley alves
16,krzysztof jotko vs. thales leites
16,cláudia gadelha vs. cortney casey
16,albert morales vs. thomas almeida
16,antônio rogério nogueira vs. ryan bader
17,danielle taylor vs. seo hee ham
17,khalil rountree vs. tyson pedro
17,alexander volkanovski vs. yusuke kasuya
17,kyle noke vs. omari akhmedov
17,andrew holbrook vs. jake matthews
17,derek brunson vs. robert whittaker
18,gian villante vs. saparbek safarov
18,corey anderson vs. sean o'connell
18,anthony hamilton vs. francis ngannou
18,derrick lewis vs. shamil abdurakhimov
19,emil weber meek vs. jordan mein
19,kelvin gastelum vs. tim kennedy
19,cub swanson vs. doo ho choi
19,donald cerrone vs. matt brown
19,anthony pettis vs. max holloway
20,alan jouban vs. mike perry
20,brad pickett vs. urijah faber
20,mickey gall vs. sage northcutt
20,michelle waterson vs. paige vanzant
21,louis smolka vs. ray borg
21,dong hyun kim vs. tarec saffiedine
21,john lineker vs. t.j. dillashaw
21,cody garbrandt vs. dominick cruz
21,amanda nunes vs. ronda rousey
22,jake ellenberger vs. mike perry
22,joe lauzon vs. stevie ray
22,eddie wineland vs. john dodson
22,marcos rogério de lima vs. ovince saint preux
